author,timestamp,content,post_url,reactions
unknown,2024-08-25,I likw the deep well injectiion at Pharmacia Pfizer.,https://www.facebook.com/groups/1996906587229548/posts/3721762491410607/?comment_id=3721813608072162&__cft__[0]=AZXYY3ycpCX7D9QlWkwnlR2gh91TukSTILWdAC8qKYtGfBRcOCwD-nnuFy6Fnbh279FqtKG4X3K3GWvAmeln1tOkN406ew7LGPoghcUi33yCwDRpjSDhB9hRrsprv2VGvZV4SA6LDKSrgkaE92Btm-i9K9RhHZKMcQ_v90byy__KCK3ovXryqrDyWg9urY_DYtkMrHHnxlVtCCoNtAtkmB6Kxp0vySPmqkG4AZb1h2Ph7Q&__tn__=R-R,0
unknown,2024-04-06,"And while you’re at it, Governor, you promised to stop taxing senior’s pensions…STILL hasn’t happened.  I may be senior, but I haven’t forgotten .",https://www.facebook.com/groups/1996906587229548/posts/3601922526727938/?comment_id=3601981586722032&__cft__[0]=AZWl5zSXXZtfp9imUgBgfISHV9e1XAAcpx4qk_UFzMXdtvTtgIok8-dWk8ToU63jgzdf4axW-i9Nye2lEzne8Ciyc5-dK8QhZligdhdai7zHG7FKGLZSweshcdT-SaR_eSWzBJdDRYnCTQKcSkd3LE1oXqzZxoj2ZDUjYfX571LHx8Zo1IJIUP6JFzzUjQDBzCjFUdR4mw7cSQpOerNy1tKAOAbARlx5c1fd0vBh7-d0Eg&__tn__=R-R,0
unknown,2024-04-06,I'll be happy to throw a couple kayak's in to show my piles of that crap.,https://www.facebook.com/groups/1996906587229548/posts/3601922526727938/?comment_id=3602894356630755&__cft__[0]=AZWl5zSXXZtfp9imUgBgfISHV9e1XAAcpx4qk_UFzMXdtvTtgIok8-dWk8ToU63jgzdf4axW-i9Nye2lEzne8Ciyc5-dK8QhZligdhdai7zHG7FKGLZSweshcdT-SaR_eSWzBJdDRYnCTQKcSkd3LE1oXqzZxoj2ZDUjYfX571LHx8Zo1IJIUP6JFzzUjQDBzCjFUdR4mw7cSQpOerNy1tKAOAbARlx5c1fd0vBh7-d0Eg&__tn__=R-R,0
unknown,2024-04-06,"On school yards, gardens and farms",https://www.facebook.com/groups/1996906587229548/posts/3600907753496082/?comment_id=3600928106827380&__cft__[0]=AZXm6XqYEYhTjCPajuTceCi-nSb-YBiwVXpW024oh3m0gz2tmnZe5ZhjTA5suaQ_uiX_DyL0mOp4UXIyhdswo-sWIDWLHLKJb8WxtANJI5i9Cd1s7a_CEnpelHsT9HzEmNv6INgMzS0F3xtwdAfpN-gS_xdl4HjixffcIQcVFwB-zA7ZYhPctyvPzPyDQphDWQYVaWyp39v_phHyAs82nOd7&__tn__=R-R,0
unknown,2024-04-06,My sweet sister.,https://www.facebook.com/groups/1996906587229548/posts/3582476052005919/?comment_id=3582638848656306&__cft__[0]=AZXtgDbph6Mqu_S3qnPAwRQ1DvNRUPlSrlodtcayra3Fk5tP03g7Nw4w84xPdShjYm1dtf4ut-Ay1e0g_oLVjU1nPU-Q_qNxyypTrlRgq1pCO8R0mDlbtO54gj3bjejMlBGvfO7GM954NtmOv4gLs-J0q0qNgkuE_RyznbQeM0Tj7nisOqqPxZyOGl5BSCuDwj1caksjb1uOP1f_pC78aiUs&__tn__=R-R,0
unknown,2024-04-06,Just infuriating!!!!,https://www.facebook.com/groups/1996906587229548/posts/3521988114721380/?comment_id=3522032401383618&__cft__[0]=AZV3okzmdj1-Gmhglv7_21SqBDYjw6cYjo_z4DKI5IJ24cIptb9GgBKkJoBzNxnkJ6sFvYbZkIQMv5JMrIb4GBSofOVlaKaQ3tVfFS-GNhr0Kzs3YqNBXgxbzvnCu0O4m-6VV8U2Zg-3X4nTEF_E6gueP22jvlcBS7YfbFyyALL8MQ5LF3_nvZpLkrZXdTLQwOP8Be2C2uR51_4hxilQlUPA&__tn__=R-R,0
unknown,2024-04-06,Wow,https://www.facebook.com/groups/1996906587229548/posts/3521988114721380/?comment_id=3522571467996378&__cft__[0]=AZV3okzmdj1-Gmhglv7_21SqBDYjw6cYjo_z4DKI5IJ24cIptb9GgBKkJoBzNxnkJ6sFvYbZkIQMv5JMrIb4GBSofOVlaKaQ3tVfFS-GNhr0Kzs3YqNBXgxbzvnCu0O4m-6VV8U2Zg-3X4nTEF_E6gueP22jvlcBS7YfbFyyALL8MQ5LF3_nvZpLkrZXdTLQwOP8Be2C2uR51_4hxilQlUPA&__tn__=R-R,0
unknown,2024-04-06,I haven’t seen any requests yet,https://www.facebook.com/groups/1996906587229548/posts/3508554492731409/?comment_id=3508559152730943&__cft__[0]=AZU-QWFpodlEdl_gBuvzG3iMs3x6aMXNnqFWxihTPUYWLNZ8ZLIRh8-lFEpnuV6BxpCWUyyaZ3MqWkv5X88GG3gGvcjI9ZmgdHIp_AIt2YLDicI0H9HnUQ-LIHfl_eCtlYVdX2oTNNg_GREzP2rJ6JlH6nb_brpws3EucNNxnnl63WEa1JYlDQolWSkQK8yvZ9I&__tn__=R-R,0
unknown,2024-04-06,I also invited Dr. John Hamm from MSU that was on the community survey. I haven’t seen him yet.,https://www.facebook.com/groups/1996906587229548/posts/3508554492731409/?comment_id=3508611796059012&__cft__[0]=AZU-QWFpodlEdl_gBuvzG3iMs3x6aMXNnqFWxihTPUYWLNZ8ZLIRh8-lFEpnuV6BxpCWUyyaZ3MqWkv5X88GG3gGvcjI9ZmgdHIp_AIt2YLDicI0H9HnUQ-LIHfl_eCtlYVdX2oTNNg_GREzP2rJ6JlH6nb_brpws3EucNNxnnl63WEa1JYlDQolWSkQK8yvZ9I&__tn__=R-R,0
unknown,2024-04-06,"I doubt it will ever be fully cleaned, supposedly the land can’t be used for 100 years",https://www.facebook.com/groups/1996906587229548/posts/3506746976245494/?comment_id=3507079159545609&__cft__[0]=AZXSULetTB2WmHY6pyKrjgqgAzTEhyK5WsTTpsHQPcBVo-vFbQSb0CZ73V6dRgNMxDYi_kHB6e-RI8MBNr0out2K2FN-VbBCMXOdLhqZmPoTopw3n0x_dWHyKITqNSmNhtp_nCmsrnxqSj0AB1TxOpXDGHzFY4U8V20mqv45jN_U6LHpI1kFRwY2tg8Wy3tj_O6a58N3S0dGYYcpCBNYx7WV&__tn__=R-R,0
unknown,2024-04-06,Let me know how I can help or write about this. I'll do whatever it takes. you know I will. You must have tons of archives (I know I do) - would it help if i made copies of some? I am working slowly on this story....but....,https://www.facebook.com/groups/1996906587229548/posts/3500223613564497/?comment_id=3500644956855696&__cft__[0]=AZU2KQaN1uj1tk60LBCQWU94cCM-gyiTvPLEts41w2mAnQc_e9kUMFT6nZK_pfauAq3IMAkhOp2xmLiAQwouqjdd5Tc2Z4PUZOuaoh6XHFwPjZ6Wx3N75qwGPO8WkRCmXcKh6rd_aaa5KE4GysgjZNBuVFtjQ8YuI88FBgsXKCaEad6DcmFzZJ-1OrCXmeTvOE6VPMzIIhGXLY3niWT6PR07&__tn__=R-R,0
unknown,2024-04-06,Road binder,https://www.facebook.com/groups/1996906587229548/posts/3500223613564497/?comment_id=3500228643563994&__cft__[0]=AZU2KQaN1uj1tk60LBCQWU94cCM-gyiTvPLEts41w2mAnQc_e9kUMFT6nZK_pfauAq3IMAkhOp2xmLiAQwouqjdd5Tc2Z4PUZOuaoh6XHFwPjZ6Wx3N75qwGPO8WkRCmXcKh6rd_aaa5KE4GysgjZNBuVFtjQ8YuI88FBgsXKCaEad6DcmFzZJ-1OrCXmeTvOE6VPMzIIhGXLY3niWT6PR07&__tn__=R-R,0
unknown,2023-04-07,Agreed.,https://www.facebook.com/groups/1996906587229548/posts/3180499075536954/?comment_id=3180523468867848&__cft__[0]=AZWAU_yB49fjvFRPD5tjCbLHT4w86iAramd0SYMT6aY_XqKENpbKtmKp__o5PXswODg1uZWlRok6EysugeykpsoLsDaIkAyDLg-rNsfG6jqPcvqd7CJhoXp0CyehPf4utdmYQk0AN9fiumBtvoGPoDJopBqWoGeY9t-fsRIJy2CGG0t2Z0JVm9oWl2ZqqRiiUmY&__tn__=R-R,0
unknown,2023-04-07,We have several cases in our survey and one recent new diagnosis reported early 40’s. It’s NOT OK!,https://www.facebook.com/groups/1996906587229548/posts/3180499075536954/?comment_id=3180502265536635&__cft__[0]=AZWAU_yB49fjvFRPD5tjCbLHT4w86iAramd0SYMT6aY_XqKENpbKtmKp__o5PXswODg1uZWlRok6EysugeykpsoLsDaIkAyDLg-rNsfG6jqPcvqd7CJhoXp0CyehPf4utdmYQk0AN9fiumBtvoGPoDJopBqWoGeY9t-fsRIJy2CGG0t2Z0JVm9oWl2ZqqRiiUmY&__tn__=R-R,0
unknown,2023-04-07,Keep ‘em coming! Thank you for sharing to those that have participated and know that you are helping to bring change!,https://www.facebook.com/groups/1996906587229548/posts/3179674852286043/?comment_id=3179741168946078&__cft__[0]=AZXcQOQY7DYyw5_z_d7haRL0hUwBElNeOjxz4NwxuqROdxfa4PpZMwR5Iut4TGRSJN8MbAnijW84pCyHdt5w0R1EVypGLBtUb75nFho_Blig0apxKRDND9a2CNdu2DQkcS54GW7HQmspLQy_eSRMxbw_5mB5Igmn-2dMIkQuyl0cCLDXLLg3gP8P6fLC6o5TivgFAHGHurKrSpU0O08AjV-1rLz4pK_miH-Eli3VKEALdQ&__tn__=R-R,0
unknown,2023-04-07,It gets spread by my house every year out on 101st st.,https://www.facebook.com/groups/1996906587229548/posts/3170132399906955/?comment_id=3170134309906764&__cft__[0]=AZXq1-epzU3JiIkCsnLIQXRPhZGymTKueUUMdeTIBG4J3ZkrRHqyhHWzhPJdp44tCYAzcjAN56VsptG7rkHo4V8fIQBOyXSXq8rTuS1DGelettSEY_K6bR59rGRGDKRBeEly5-8mpP2U_9Ed4TC8NtaynhbeBcx_p7q_oFSrmtqrac8A9IgFeduLpvJOii0-nEY&__tn__=R-R,0
unknown,2023-04-07,I just don’t understand how they can miss PFAS testing when OTSEGO is a known PFAS site! One of 12 listed for the state of Michigan. I hate for people to lose their jobs but this is absolutely ridiculous,https://www.facebook.com/groups/1996906587229548/posts/3172575002996028/?comment_id=3177142322539296&__cft__[0]=AZU-Yjx4mI-KtNnlxBi0YmjCzWA5nx6TuvcBbYSXsTwvVfZRO53gYvT3TRCSTZ1lBVLexGwpfdThDA6MNuaYjqVSuhhjTxzikGazvTYHSYnsQ3rHiHKOz6fPOK6fyDm6SUQMwNVvOtJqDxklERbbozzX-PDsu0sgNH0BxxAkZvz4C_9vyAwL4PQxdYcm4n8fmu4N3nlfiireJ2TaHK862zKk&__tn__=R-R,0
unknown,2023-04-07,￼,https://www.facebook.com/groups/1996906587229548/posts/3172575002996028/?comment_id=3177147569205438&__cft__[0]=AZU-Yjx4mI-KtNnlxBi0YmjCzWA5nx6TuvcBbYSXsTwvVfZRO53gYvT3TRCSTZ1lBVLexGwpfdThDA6MNuaYjqVSuhhjTxzikGazvTYHSYnsQ3rHiHKOz6fPOK6fyDm6SUQMwNVvOtJqDxklERbbozzX-PDsu0sgNH0BxxAkZvz4C_9vyAwL4PQxdYcm4n8fmu4N3nlfiireJ2TaHK862zKk&__tn__=R-R,0
unknown,2022-04-07,Thanks for sharing!!!,https://www.facebook.com/groups/1996906587229548/posts/3069544609965735/?comment_id=3069545993298930&__cft__[0]=AZVpOVWoiZGgmyetHrFdjk9ysHVMk7r75pTVsUGOiqt4WDyfwkphZpyIhQfrTReyMluCG9LUXQP13h6JBS-5ZFfEePY2277Icd5GrK2w_VSl7IZoxvktHg4V59AZRqoNX0MzUbYQCENLbzXy0Pfp0NdA0NATTYqdiU1ie67-IiCEPwYLouMlJvjQ6jkZq3I_nhbGiM_U0-odof3649ydddKSJJPEAmKxaZb8KhqTayuDsFjWavARqxHSgSTYy4dD9VCchi74mR1Hp0yocgirN-Rn&__tn__=R-R,0
unknown,2022-04-07,BRCA1+,https://www.facebook.com/groups/1996906587229548/posts/3068108386776024/?comment_id=3068338443419685&__cft__[0]=AZUg5ETlibGniRS5FjSHQG0LF5fL7Mrhhrfi3rFeMFx5ZPQ81eVOgBJXxB56AgpOup0DtQPxIpXD7vpZwc5gSVxqrtNMTWZys7I16pp5mOGaG2xBk8Dd1pNZ_x1HLRoqMnK5PikyEX1Cyy1gCsV6te5AyqM52_9-YJjFPNbjO7zTnnESpjwdJIUpIl9Sr8oMvHA&__tn__=R-R,0
unknown,2022-04-07,Who was it that passed away??,https://www.facebook.com/groups/1996906587229548/posts/3068478130072383/?comment_id=3068531980066998&__cft__[0]=AZWgejm4UGfDcbjv2NGS_-VVDy656LeyAPYGF5teFiXI67567TZspchC-Fas36UixBpCP74LDjUKpL_R2ewlnR8rA4NbQhwQy8fW1_ggrogfV79T8exSiISjWZfl69RQozsur_ivAgZ3Vs_mXBVM5uy3hG0KCnxFXtMoMI9OVimvc8qnpwN9hKyT_N7P2oeQV-Q&__tn__=R-R,0
unknown,2022-04-07,The news shocked me to my core…I hate cancer more every stinking day!,https://www.facebook.com/groups/1996906587229548/posts/3068478130072383/?comment_id=3068619636724899&__cft__[0]=AZWgejm4UGfDcbjv2NGS_-VVDy656LeyAPYGF5teFiXI67567TZspchC-Fas36UixBpCP74LDjUKpL_R2ewlnR8rA4NbQhwQy8fW1_ggrogfV79T8exSiISjWZfl69RQozsur_ivAgZ3Vs_mXBVM5uy3hG0KCnxFXtMoMI9OVimvc8qnpwN9hKyT_N7P2oeQV-Q&__tn__=R-R,0
unknown,2022-04-07,I will send my email this week.,https://www.facebook.com/groups/1996906587229548/posts/3065956693657860/?comment_id=3066119776974885&__cft__[0]=AZWlFNhdOVwyW-pOu5JXM1AKfrnjBTGvevtgshce_p16RJXo7CC3g_QhGNMesqm5V0ZK9BPhxDRL3bXm8FAZfOXw4qFKu9IqyCkF96sEp54Nfc-C17bjikYQMt1rJDIs3GF9hm841h6RT_zh1jwUEkHIrTDGaE6J4C-sKJX-3nwNJHvkina5n_FV0KUZCMK-Rjs&__tn__=R-R,0
unknown,2022-04-07,e-mail sent,https://www.facebook.com/groups/1996906587229548/posts/3065956693657860/?comment_id=3066048906981972&__cft__[0]=AZWlFNhdOVwyW-pOu5JXM1AKfrnjBTGvevtgshce_p16RJXo7CC3g_QhGNMesqm5V0ZK9BPhxDRL3bXm8FAZfOXw4qFKu9IqyCkF96sEp54Nfc-C17bjikYQMt1rJDIs3GF9hm841h6RT_zh1jwUEkHIrTDGaE6J4C-sKJX-3nwNJHvkina5n_FV0KUZCMK-Rjs&__tn__=R-R,0
unknown,2022-04-07,"This is eye opening considering ALL of my immediate family who have had cancer (rare) heart issues (serious) kidney/dialysis, diabetes, etc.! Thank you JFO for opening our eyes!!!",https://www.facebook.com/groups/1996906587229548/posts/3065330977053765/?comment_id=3065357263717803&__cft__[0]=AZX0RtQOWnIERIAnS_8EFmka4eIGZjzmW51U6f_WMM3gKgIt_0aX9yfu6xsvuWq8wgCrvLYVvUeEEeBxB--whRmXNVtkK8OHsjWa_KvrqLs4XC5YpuG9v9Nfnyy8XcbDLlpi9II3ABFbyMrjTbd62kx0LeAEx5Ikvzaf0yRGzvD5VRY_U3KaZa17bWwQiGuHM5hJkSii1Nzj3Ayw9QS0dOsh&__tn__=R-R,0
unknown,2022-04-07,No it's not just cancer it's LIFE STEALING SOUL SUCKING SICKNESS THAT CAUSES TERROR PAIN AND TORTURE TO INNOCENT PEOPLE,https://www.facebook.com/groups/1996906587229548/posts/3065330977053765/?comment_id=3065353963718133&__cft__[0]=AZX0RtQOWnIERIAnS_8EFmka4eIGZjzmW51U6f_WMM3gKgIt_0aX9yfu6xsvuWq8wgCrvLYVvUeEEeBxB--whRmXNVtkK8OHsjWa_KvrqLs4XC5YpuG9v9Nfnyy8XcbDLlpi9II3ABFbyMrjTbd62kx0LeAEx5Ikvzaf0yRGzvD5VRY_U3KaZa17bWwQiGuHM5hJkSii1Nzj3Ayw9QS0dOsh&__tn__=R-R,0
unknown,2022-04-07,Thank you Jennifer. Her story is a major reason we are still going strong,https://www.facebook.com/groups/1996906587229548/posts/3050066701913526/?comment_id=3050094068577456&__cft__[0]=AZW45Pc1Wxbp6YeTmboaUaBxk-iOttpRQZCvBfoTqFoLXJB-5XVw9ljYhZh59g2zEiOHgz6es4b7dp2wHmUxzEU0ie0zp1WyMZPbtAGTECiDgCyNivp6-MiA9McgFpv9XLKgfLbVUCyep8ZxiGfyfgighA0RcCq4rCmFAX5GrZiDSbyMyTuB0M_REz7MqMht7I30ErPCTGJEYw3JY-mE1zMt&__tn__=R-R,0
unknown,2022-04-07,Welcome everyone!! Let us know you’re hear and give us a like!!,https://www.facebook.com/groups/1996906587229548/posts/3050066701913526/?comment_id=3050068915246638&__cft__[0]=AZW45Pc1Wxbp6YeTmboaUaBxk-iOttpRQZCvBfoTqFoLXJB-5XVw9ljYhZh59g2zEiOHgz6es4b7dp2wHmUxzEU0ie0zp1WyMZPbtAGTECiDgCyNivp6-MiA9McgFpv9XLKgfLbVUCyep8ZxiGfyfgighA0RcCq4rCmFAX5GrZiDSbyMyTuB0M_REz7MqMht7I30ErPCTGJEYw3JY-mE1zMt&__tn__=R-R,0
unknown,2022-04-07,Thank you for your continued work on this. Words can't describe how thankful and proud we are for all those working tirelessly on this.,https://www.facebook.com/groups/1996906587229548/posts/3045840489002814/?comment_id=3046994092220787&__cft__[0]=AZVw3ISDPuEOqqhjoPWTp8fnNoX8bewdfaeLGE6v8V8bqVPhNzYgtMBQVna4W286X1Z7GJsEdrzfUSBU2iOZOaOd8gi7Tlv-ePtKxvLvr6xp3rkJJWVSAYzQGrBqcrqN_ncfU2qlY0r77S34pfDuZbTm1cUdC7qayn0ELBLa5ugR-MOHawZaJqk7IX7IdXiKipTDDooQCfMmy80vjboUmMwO&__tn__=R-R,0
unknown,2022-04-07,Any questions please let us know and we will answer as we can,https://www.facebook.com/groups/1996906587229548/posts/3045840489002814/?comment_id=3045841432336053&__cft__[0]=AZVw3ISDPuEOqqhjoPWTp8fnNoX8bewdfaeLGE6v8V8bqVPhNzYgtMBQVna4W286X1Z7GJsEdrzfUSBU2iOZOaOd8gi7Tlv-ePtKxvLvr6xp3rkJJWVSAYzQGrBqcrqN_ncfU2qlY0r77S34pfDuZbTm1cUdC7qayn0ELBLa5ugR-MOHawZaJqk7IX7IdXiKipTDDooQCfMmy80vjboUmMwO&__tn__=R-R,0
unknown,2022-04-07,How will you begin your investigation? You said you would begin with testing breast milk samples; but what about the venison study you mentioned,https://www.facebook.com/groups/1996906587229548/posts/3045184149068448/?comment_id=3045187689068094&__cft__[0]=AZXdnvrhrafjYl5W1n1JMgGTjumeNJyi8UiAxrgLHlBvoDVUuNWsSxgy7aSCRcIYqPxXqHA4rTt9uJG0F-CaS7bMLwGmhRoXvEjjdaYw2Qt8__D-I5Sl0i3eJa43qaKr_48CyjW8D3FdkKQ42izpYViBs_VtwRXV_xE88CTXVjo5gMtUSd6BZ4DDJZkiA-tfH6F5YkT0xdJiw1tQaneWE_IG&__tn__=R-R,0
unknown,2022-04-07,I think it was a very compelling podcast!,https://www.facebook.com/groups/1996906587229548/posts/3040807729506090/?comment_id=3041087019478161&__cft__[0]=AZU5qEqJJz--YmqEbCGDR6nE8Xvsk18_zCcwsq-xG4sIurdHuWslIbkKt7oEegusFkCD6ELczSGEhqA8s6JsRIbrMyNc5Eu6_SpH-rijOd1LkKB0HSgY7IBwWnXxQWrJ6aSuK-qt8vnk2RcgpIMdFx8UjPpCqD2PPkweBeXxEg7_4Lufig5QjuWG_KArrxS_V6d-S57x5E_EVIlKohvsXy17&__tn__=R-R,0
unknown,2022-04-07,Great job! I learn more every time I listen to you speak.,https://www.facebook.com/groups/1996906587229548/posts/3040807729506090/?comment_id=3040860562834140&__cft__[0]=AZU5qEqJJz--YmqEbCGDR6nE8Xvsk18_zCcwsq-xG4sIurdHuWslIbkKt7oEegusFkCD6ELczSGEhqA8s6JsRIbrMyNc5Eu6_SpH-rijOd1LkKB0HSgY7IBwWnXxQWrJ6aSuK-qt8vnk2RcgpIMdFx8UjPpCqD2PPkweBeXxEg7_4Lufig5QjuWG_KArrxS_V6d-S57x5E_EVIlKohvsXy17&__tn__=R-R,0
unknown,2022-04-07,It’s the same story!!! Why don’t we have the same concern or results,https://www.facebook.com/groups/1996906587229548/posts/3040969139489949/?comment_id=3040973309489532&__cft__[0]=AZWC-gy8hEhauvE5uFAz193tztyqOmLTv-AWeLIR3P8KuovvN5o_6wFjULU3OdRwf9RPr76Nl0x49OOOBhBAtJAmUw1e8njh4uQ5ObkF9p3TGjcH8nEJrgzWRUPZBDZnOE27jWDm2xIu5IkpjWgVnO-PWXxOoCmNfUtgRzfMd_Ugl4kO24-kuLtukWZZt7ihaoE1lI16Ca2CDPyw6Lv8cNeq&__tn__=R-R,0
unknown,2022-04-07,This doc will blow your mind!!!,https://www.facebook.com/groups/1996906587229548/posts/3040969139489949/?comment_id=3040973169489546&__cft__[0]=AZWC-gy8hEhauvE5uFAz193tztyqOmLTv-AWeLIR3P8KuovvN5o_6wFjULU3OdRwf9RPr76Nl0x49OOOBhBAtJAmUw1e8njh4uQ5ObkF9p3TGjcH8nEJrgzWRUPZBDZnOE27jWDm2xIu5IkpjWgVnO-PWXxOoCmNfUtgRzfMd_Ugl4kO24-kuLtukWZZt7ihaoE1lI16Ca2CDPyw6Lv8cNeq&__tn__=R-R,0
unknown,2022-04-07,My family has 5 types of cancer. 3 daughters - 4 types,https://www.facebook.com/groups/1996906587229548/posts/3040952149491648/?comment_id=3040959089490954&__cft__[0]=AZV9EvFES85C8Gi0lqD16ggcKuakjnpGRpUzYoVDX2RwlzD0x7D6zH80_6Qf35GkEdY7TTUFb5ci5fd2hxA2bxhYjcJQHZrtf0YDOXfk4Fc3dAa5KAKgXQhd5uAr_TJZyZ4u1_V_6EjdOrB8K1ntqK_X-2OsMsWSoZu5KYkzIZics3-6GEuBnMTblq46PizmdYywdoCiROuguGtCADj4ZSaJ&__tn__=R-R,0
